"Source";"Target";"Type";"Year"
23658;1271;"Directed";1991
23658;16600;"Directed";1991
23658;32102;"Directed";1991
23658;30729;"Directed";1991
23658;11507;"Directed";1991
23658;21312;"Directed";1991
23658;23021;"Directed";1991
23658;1873;"Directed";1991
23658;7120;"Directed";1991
23658;13560;"Directed";1991
23658;27741;"Directed";1991
23658;6272;"Directed";1991
23658;229;"Directed";1991
23658;2750;"Directed";1991
23658;8293;"Directed";1991
23658;25115;"Directed";1991
23658;16573;"Directed";1991
23658;37306;"Directed";1991
23658;7130;"Directed";1991
23658;32412;"Directed";1991
23658;33894;"Directed";1991
23658;33750;"Directed";1991
23658;26004;"Directed";1991
23658;28345;"Directed";1991
23658;32593;"Directed";1991
23658;5583;"Directed";1991
23658;10935;"Directed";1991
23658;16884;"Directed";1991
23658;8895;"Directed";1991
23658;3052;"Directed";1991
23658;28236;"Directed";1991
23658;22665;"Directed";1991
23658;36886;"Directed";1991
23658;27399;"Directed";1991
23658;25444;"Directed";1991
23658;211;"Directed";1991
23658;3944;"Directed";1991
23658;30099;"Directed";1991
23658;33868;"Directed";1991
23658;4823;"Directed";1991
23658;28076;"Directed";1991
23658;18958;"Directed";1991
23658;14509;"Directed";1991
23658;30708;"Directed";1991
23658;23069;"Directed";1991
23658;30709;"Directed";1991
23658;29229;"Directed";1991
23658;20997;"Directed";1991
23658;2502;"Directed";1991
23658;6871;"Directed";1991
23658;1617;"Directed";1991
23658;9502;"Directed";1991
23658;23379;"Directed";1991
23658;23078;"Directed";1991
23658;28379;"Directed";1991
23658;1623;"Directed";1991
23658;174;"Directed";1991
23658;29891;"Directed";1991
23658;4279;"Directed";1991
23658;8040;"Directed";1991
23658;29532;"Directed";1991
23658;35805;"Directed";1991
23658;33657;"Directed";1991
23658;2990;"Directed";1991
23658;15131;"Directed";1991
23658;21309;"Directed";1991
23658;28923;"Directed";1991
23658;14530;"Directed";1991
23658;37519;"Directed";1991
23658;4097;"Directed";1991
23658;7731;"Directed";1991
23658;34831;"Directed";1991
23658;15137;"Directed";1991
23658;36462;"Directed";1991
23658;496;"Directed";1991
23658;19567;"Directed";1991
23658;11700;"Directed";1991
23658;22493;"Directed";1991
23658;32823;"Directed";1991
23658;36630;"Directed";1991
23658;30444;"Directed";1991
23658;19576;"Directed";1991
23658;10994;"Directed";1991
23658;30631;"Directed";1991
23658;33620;"Directed";1991
23658;15461;"Directed";1991
23658;27811;"Directed";1991
23658;35747;"Directed";1991
23658;13945;"Directed";1991
23658;31044;"Directed";1991
23658;20487;"Directed";1991
23658;26379;"Directed";1991
23658;26957;"Directed";1991
23658;13645;"Directed";1991
23658;4308;"Directed";1991
23658;37060;"Directed";1991
23658;14863;"Directed";1991
23658;36947;"Directed";1991
23658;14558;"Directed";1991
23658;706;"Directed";1991
23658;23423;"Directed";1991
23658;34261;"Directed";1991
23658;26394;"Directed";1991
23658;11309;"Directed";1991
23658;35461;"Directed";1991
23658;25796;"Directed";1991
23658;2583;"Directed";1991
23658;22524;"Directed";1991
23658;15173;"Directed";1991
23658;26454;"Directed";1991
23658;24586;"Directed";1991
23658;1282;"Directed";1991
23658;26693;"Directed";1991
23658;36076;"Directed";1991
23658;16632;"Directed";1991
23658;3134;"Directed";1991
23658;8094;"Directed";1991
23658;9566;"Directed";1991
23658;264;"Directed";1991
23658;24106;"Directed";1991
23658;13367;"Directed";1991
23658;32495;"Directed";1991
23658;25807;"Directed";1991
23658;17277;"Directed";1991
23658;35537;"Directed";1991
23658;1386;"Directed";1991
23658;33765;"Directed";1991
23658;32211;"Directed";1991
23658;29589;"Directed";1991
23658;8397;"Directed";1991
23658;21946;"Directed";1991
23658;8150;"Directed";1991
23658;1697;"Directed";1991
23658;21949;"Directed";1991
23658;18071;"Directed";1991
23658;33150;"Directed";1991
23658;37224;"Directed";1991
23658;247;"Directed";1991
23658;25533;"Directed";1991
23658;6680;"Directed";1991
23658;7245;"Directed";1991
23658;19783;"Directed";1991
23658;3289;"Directed";1991
23658;35800;"Directed";1991
23658;2591;"Directed";1991
23658;10755;"Directed";1991
23658;10459;"Directed";1991
23658;27300;"Directed";1991
23658;31670;"Directed";1991
23658;32239;"Directed";1991
23658;16118;"Directed";1991
23658;25846;"Directed";1991
23658;17888;"Directed";1991
23658;8433;"Directed";1991
23658;23774;"Directed";1991
23658;32869;"Directed";1991
23658;568;"Directed";1991
23658;37308;"Directed";1991
23658;14926;"Directed";1991
23658;28474;"Directed";1991
23658;9616;"Directed";1991
23658;37013;"Directed";1991
23658;23485;"Directed";1991
23658;27318;"Directed";1991
23658;1434;"Directed";1991
4249;18161;"Directed";1987
4249;28481;"Directed";1987
4249;27516;"Directed";1987
4249;16141;"Directed";1987
4249;33195;"Directed";1987
4249;9626;"Directed";1987
4249;37324;"Directed";1987
4249;15262;"Directed";1987
4249;36732;"Directed";1987
4249;19987;"Directed";1987
4249;30545;"Directed";1987
4249;5837;"Directed";1987
4249;13132;"Directed";1987
4249;2349;"Directed";1987
4249;35479;"Directed";1987
4249;14705;"Directed";1987
4249;25042;"Directed";1987
4249;18814;"Directed";1987
4249;15863;"Directed";1987
4249;7578;"Directed";1987
4249;10799;"Directed";1987
4249;7104;"Directed";1987
4249;22420;"Directed";1987
4249;35486;"Directed";1987
4249;11976;"Directed";1987
4249;7590;"Directed";1987
4249;28508;"Directed";1987
4249;30868;"Directed";1987
4249;17355;"Directed";1987
4249;7741;"Directed";1987
4249;3816;"Directed";1987
4249;4402;"Directed";1987
4249;3514;"Directed";1987
4249;33225;"Directed";1987
4249;37053;"Directed";1987
4249;5294;"Directed";1987
4249;36187;"Directed";1987
4249;4968;"Directed";1987
4249;10250;"Directed";1987
4249;14686;"Directed";1987
4249;24712;"Directed";1987
4249;9960;"Directed";1987
4249;33807;"Directed";1987
4249;29688;"Directed";1987
4249;9655;"Directed";1987
4249;4550;"Directed";1987
4249;7333;"Directed";1987
4249;32039;"Directed";1987
4249;33829;"Directed";1987
4249;35899;"Directed";1987
4249;26527;"Directed";1987
4249;2093;"Directed";1987
4249;3843;"Directed";1987
4249;30902;"Directed";1987
4249;4431;"Directed";1987
4249;18642;"Directed";1987
4249;18769;"Directed";1987
4249;28839;"Directed";1987
4249;9974;"Directed";1987
4249;23862;"Directed";1987
4249;26234;"Directed";1987
4249;4530;"Directed";1987
4249;21197;"Directed";1987
4249;13524;"Directed";1987
4249;9228;"Directed";1987
4249;16502;"Directed";1987
4249;11401;"Directed";1987
4249;12346;"Directed";1987
4249;12636;"Directed";1987
4249;15324;"Directed";1987
4249;4748;"Directed";1987
4249;18294;"Directed";1987
4249;18600;"Directed";1987
4249;29154;"Directed";1987
4249;5925;"Directed";1987
4249;26256;"Directed";1987
4249;28206;"Directed";1987
4249;15041;"Directed";1987
4249;14447;"Directed";1987
4249;17361;"Directed";1987
4249;16238;"Directed";1987
4249;23599;"Directed";1987
4249;9721;"Directed";1987
4249;36531;"Directed";1987
4249;27426;"Directed";1987
4249;4477;"Directed";1987
4249;7096;"Directed";1987
4249;20100;"Directed";1987
4249;33004;"Directed";1987
4249;29456;"Directed";1987
4249;17727;"Directed";1987
4249;19795;"Directed";1987
4249;13547;"Directed";1987
4249;9304;"Directed";1987
4249;37441;"Directed";1987
4249;21846;"Directed";1987
4249;14760;"Directed";1987
4249;10324;"Directed";1987
4249;24496;"Directed";1987
4249;28376;"Directed";1987
4249;26287;"Directed";1987
4249;3232;"Directed";1987
4249;36035;"Directed";1987
4249;3320;"Directed";1987
4249;2561;"Directed";1987
4249;11516;"Directed";1987
4249;34465;"Directed";1987
4249;37076;"Directed";1987
4249;11862;"Directed";1987
4249;23927;"Directed";1987
4249;15397;"Directed";1987
4249;4391;"Directed";1987
4249;27761;"Directed";1987
4249;2187;"Directed";1987
4249;26024;"Directed";1987
4249;25729;"Directed";1987
4249;31042;"Directed";1987
4249;37497;"Directed";1987
4249;2782;"Directed";1987
4249;33363;"Directed";1987
4249;3960;"Directed";1987
4249;25460;"Directed";1987
4249;21014;"Directed";1987
4249;12154;"Directed";1987
4249;15425;"Directed";1987
4249;18630;"Directed";1987
4249;19547;"Directed";1987
4249;5419;"Directed";1987
4249;18695;"Directed";1987
4249;8329;"Directed";1987
4249;4033;"Directed";1987
4249;21885;"Directed";1987
4249;11262;"Directed";1987
4249;25750;"Directed";1987
4249;2990;"Directed";1987
4249;14014;"Directed";1987
4249;13025;"Directed";1987
4249;29244;"Directed";1987
4249;17224;"Directed";1987
4249;36920;"Directed";1987
4249;6034;"Directed";1987
4249;37528;"Directed";1987
4249;23105;"Directed";1987
4249;9242;"Directed";1987
4249;1647;"Directed";1987
4249;15458;"Directed";1987
4249;9246;"Directed";1987
4249;17811;"Directed";1987
4249;33676;"Directed";1987
4249;16351;"Directed";1987
4249;1852;"Directed";1987
4249;4871;"Directed";1987
4249;27401;"Directed";1987
4249;25876;"Directed";1987
4249;22815;"Directed";1987
4249;5794;"Directed";1987
4249;13951;"Directed";1987
4249;14015;"Directed";1987
4249;23696;"Directed";1987
4249;25220;"Directed";1987
4249;6373;"Directed";1987
4249;19013;"Directed";1987
4249;37566;"Directed";1987
4249;16382;"Directed";1987
4249;17293;"Directed";1987
4249;13668;"Directed";1987
4249;31073;"Directed";1987
4249;4025;"Directed";1987
4249;7796;"Directed";1987
4249;4330;"Directed";1987
4249;13734;"Directed";1987
4249;36972;"Directed";1987
4249;33559;"Directed";1987
4249;11903;"Directed";1987
4249;11999;"Directed";1987
4249;13262;"Directed";1987
4249;11037;"Directed";1987
4249;30375;"Directed";1987
4249;33274;"Directed";1987
4249;2704;"Directed";1987
4249;10297;"Directed";1987
4249;28454;"Directed";1987
4249;16246;"Directed";1987
4249;21641;"Directed";1987
4249;23181;"Directed";1987
4249;24337;"Directed";1987
4249;9111;"Directed";1987
4249;13401;"Directed";1987
4249;21106;"Directed";1987
4249;19374;"Directed";1987
4249;22258;"Directed";1987
4249;36316;"Directed";1987
