"Source";"Target";"Type";"Weight"
7700;1809;"Undirected";1
21735;6041;"Undirected";1
24026;32562;"Undirected";1
37142;32964;"Undirected";1
24523;30573;"Undirected";3
11559;28751;"Undirected";7
24249;31841;"Undirected";1
2580;26895;"Undirected";3
11933;24696;"Undirected";1
16540;13293;"Undirected";3
19522;21463;"Undirected";3
36383;20733;"Undirected";1
25028;31185;"Undirected";2
13424;572;"Undirected";2
36344;9863;"Undirected";1
21871;20477;"Undirected";1
14008;34875;"Undirected";1
29946;1490;"Undirected";3
34695;14531;"Undirected";5
11473;30138;"Undirected";1
29279;24249;"Undirected";1
1979;4926;"Undirected";3
17212;24082;"Undirected";1
31050;18070;"Undirected";1
22760;31495;"Undirected";2
24618;21871;"Undirected";7
32585;21535;"Undirected";6
29279;20343;"Undirected";1
28124;8339;"Undirected";4
24618;4418;"Undirected";4
29889;35794;"Undirected";1
37064;31841;"Undirected";7
37520;1448;"Undirected";3
19736;13709;"Undirected";3
2274;17420;"Undirected";1
29920;29889;"Undirected";5
23450;28978;"Undirected";2
35428;17054;"Undirected";1
33482;32690;"Undirected";6
27890;36852;"Undirected";1
21849;644;"Undirected";2
2077;13665;"Undirected";1
37520;25398;"Undirected";3
22857;14176;"Undirected";1
22346;26895;"Undirected";1
15712;31924;"Undirected";1
13372;30469;"Undirected";1
9927;16540;"Undirected";1
14176;28191;"Undirected";1
1809;22694;"Undirected";1
16540;20668;"Undirected";2
26742;19272;"Undirected";1
26549;36045;"Undirected";3
14095;29465;"Undirected";2
17962;1800;"Undirected";3
17418;9825;"Undirected";11
32985;7984;"Undirected";1
15850;29533;"Undirected";1
23658;29513;"Undirected";3
1618;22303;"Undirected";1
5734;23786;"Undirected";1
37064;9757;"Undirected";2
21350;15067;"Undirected";1
37064;21577;"Undirected";5
20122;7938;"Undirected";3
14112;33900;"Undirected";1
36710;2943;"Undirected";1
24690;20477;"Undirected";3
1979;11675;"Undirected";7
31185;32544;"Undirected";10
4249;36353;"Undirected";3
29129;13940;"Undirected";1
33744;34875;"Undirected";6
31105;9825;"Undirected";1
21135;27038;"Undirected";4
18763;33247;"Undirected";1
36511;28978;"Undirected";1
31918;7984;"Undirected";6
22760;11490;"Undirected";5
12659;28751;"Undirected";3
20427;17454;"Undirected";4
29423;9420;"Undirected";1
11264;22445;"Undirected";3
21971;24952;"Undirected";1
31999;21825;"Undirected";1
7730;11490;"Undirected";1
23658;4418;"Undirected";1
31185;36163;"Undirected";1
24952;29718;"Undirected";2
20294;20477;"Undirected";2
25321;19219;"Undirected";2
31999;11675;"Undirected";8
6412;21979;"Undirected";3
6958;13124;"Undirected";2
20668;3077;"Undirected";6
17925;29889;"Undirected";10
11914;11179;"Undirected";1
24690;34875;"Undirected";1
26857;36785;"Undirected";2
34969;26728;"Undirected";2
26754;4293;"Undirected";1
6326;22963;"Undirected";1
13897;19685;"Undirected";1
33207;267;"Undirected";6
3077;12659;"Undirected";2
4965;3796;"Undirected";3
26194;5616;"Undirected";5
16540;34875;"Undirected";1
28124;30573;"Undirected";5
24806;24965;"Undirected";1
26420;35773;"Undirected";1
36045;24006;"Undirected";2
11559;16604;"Undirected";5
7938;562;"Undirected";1
11559;9863;"Undirected";7
31043;5969;"Undirected";1
29129;6103;"Undirected";1
28740;34868;"Undirected";1
21546;30201;"Undirected";1
18391;5794;"Undirected";2
21463;31495;"Undirected";4
6958;3058;"Undirected";1
29889;30648;"Undirected";4
37346;9651;"Undirected";1
10711;8258;"Undirected";1
9093;6326;"Undirected";2
10011;34819;"Undirected";12
22606;25972;"Undirected";2
28475;32544;"Undirected";7
17418;9603;"Undirected";1
33388;7700;"Undirected";1
1571;1282;"Undirected";1
16540;29423;"Undirected";3
24007;10378;"Undirected";1
30610;17454;"Undirected";4
1618;24806;"Undirected";1
36463;29010;"Undirected";33
7991;14531;"Undirected";2
26232;1258;"Undirected";1
23477;11672;"Undirected";3
3089;6369;"Undirected";1
21135;3499;"Undirected";3
9786;5504;"Undirected";4
2077;34959;"Undirected";2
31341;13947;"Undirected";4
30469;24856;"Undirected";2
19886;5969;"Undirected";1
2776;35745;"Undirected";7
32585;5794;"Undirected";1
32544;22346;"Undirected";1
34695;25641;"Undirected";1
26694;17668;"Undirected";1
25633;37368;"Undirected";1
3199;37290;"Undirected";1
29279;8258;"Undirected";1
12679;13473;"Undirected";3
29946;20266;"Undirected";1
11914;33482;"Undirected";5
908;23623;"Undirected";1
36353;17454;"Undirected";2
28087;34795;"Undirected";2
3199;30798;"Undirected";1
21979;21380;"Undirected";1
21825;26895;"Undirected";2
8785;36396;"Undirected";1
23492;4369;"Undirected";1
4298;22301;"Undirected";1
26752;36045;"Undirected";2
27912;4937;"Undirected";2
13465;24523;"Undirected";2
14621;17668;"Undirected";7
16973;929;"Undirected";1
572;432;"Undirected";1
2274;28124;"Undirected";5
21432;30788;"Undirected";4
33388;22694;"Undirected";2
2474;1680;"Undirected";4
30469;22445;"Undirected";1
37064;24696;"Undirected";3
6679;13709;"Undirected";4
1979;22694;"Undirected";8
13465;28030;"Undirected";7
19419;5734;"Undirected";1
13947;22783;"Undirected";1
9863;11821;"Undirected";1
8215;12295;"Undirected";1
908;13940;"Undirected";1
19522;8630;"Undirected";1
21735;4937;"Undirected";1
35787;30648;"Undirected";2
8391;13238;"Undirected";1
7422;34795;"Undirected";1
33576;1680;"Undirected";1
8449;7481;"Undirected";5
17399;26694;"Undirected";1
3542;21530;"Undirected";1
33247;13940;"Undirected";5
1618;11179;"Undirected";1
32585;28124;"Undirected";2
28030;16426;"Undirected";1
21644;7832;"Undirected";1
21971;11738;"Undirected";2
26232;28978;"Undirected";5
19272;33900;"Undirected";1
1448;7674;"Undirected";5
26420;28978;"Undirected";3
32140;4369;"Undirected";3
8984;34695;"Undirected";6
35826;28291;"Undirected";1
1498;11821;"Undirected";1
1347;31341;"Undirected";1
6437;562;"Undirected";2
17399;34795;"Undirected";3
25971;9647;"Undirected";2
1490;17054;"Undirected";4
30616;22344;"Undirected";1
23297;11986;"Undirected";1
614;26651;"Undirected";1
9927;7516;"Undirected";1
6679;7832;"Undirected";1
32355;2959;"Undirected";3
